,acad_plan_descr,course_average_grade5
0,Accounting & Financial Mgt,81.5107109768658
1,Actuarial Science,81.73845962490005
2,Architecture,82.12423798409165
3,Biology,77.32713773479229
4,Business & Math (Double Degree),82.30148373677423
5,Chemical Engineering,78.41928455685732
6,Civil Engineering,78.90937117598794
7,Computer Engineering,75.88820797063124
8,Computer Science,75.10629477639739
9,Electrical Engineering,75.46340038563298
10,Environment & Business,78.51006459357038
11,Health Studies,81.29766407880321
12,Kinesiology,79.48460131288012
13,Mechanical Engineering,76.34748449576234
14,Mechatronics Engineering,78.45096406609926
15,Nanotechnology Engineering,81.47455082759464
16,Pharmacy,81.4466423762181
17,Planning,82.45840536873413
18,Software Engineering,78.88118008519268
19,Systems Design Engineering,76.6901923455128
